% type=behavior bar chart
% title=
% xlabel=group
% ylabel=Aggregation (%)


% raw data
% individual A
% group dark
1662, 1187, 1546, 656, 2431, 1701, 1399, 1487, 589, 1228, 
% frames total
27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180726T133016
% frames labelled
1997, 2622, 3428, 2310, 1461, 2157, 1357, 852, 2082, 5467, 
% frames total
27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180726T133023
% frames labelled
5630, 2336, 2396, 1146, 1390, 3765, 1018, 2055, 2792, 2099, 
% frames total
27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 


% summary data
% xdata
dark, light, 
% ydata, CT+D
5.0597, 15.9526, 
% ydata, CT-D
3.60671, 12.0692, 
% ydata, CT
4.3332, 14.0109, 
% type=behavior bar chart
% title=
% xlabel=group
% ylabel=Chain (%)


% raw data
% individual A
% group dark
% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\Dark\Assa_Males_Grouped_Dark_Unknown_RigA_20180723T114902
% frames labelled
1626, 1041, 1535, 758, 564, 1328, 988, 1042, 970, 1399, 
% frames total
27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\Dark\Assa_Males_Grouped_Dark_Unknown_RigA_20180723T114943
% frames labelled
641, 570, 989, 767, 576, 340, 357, 579, 371, 725, 
% frames total
27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\Dark\Assa_Males_Grouped_Dark_Unknown_RigA_20180723T115044
% frames labelled
1398, 938, 1298, 720, 1659, 887, 1112, 1545, 507, 1083, 
% frames total
27005, 27005, 27005, 27005, 27005, 27005, 27005, 27005, 27005, 27005, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\Dark\Assa_Males_Grouped_Dark_Unknown_RigA_20180723T122912
% frames labelled
1264, 965, 948, 745, 600, 883, 1315, 1193, 626, 1150, 
% frames total
27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\Dark\Assa_Males_Grouped_Dark_Unknown_RigA_20180723T122922
% frames labelled
732, 1270, 1118, 934, 1179, 814, 895, 711, 864, 1009, 
% frames total
27004, 27004, 27004, 27004, 27004, 27004, 27004, 27004, 27004, 27004, 

